geofips,metro_name,airports,gdp_2017,gdp_2018,gdp_2019,gdp_2021,gdp_2022,pop_2017,pop_2018,pop_2019,pop_2021,pop_2022
29180,Lafayette (LA),LFT,21115560,22041983,21834533,21202980,21023124,490299,489680,489207,"410,533","412,641"
33660,Mobile,MOB,20576160,20912705,21226460,22277342,22789935,430567,430310,429536,"413,383","411,398"
22420,Flint,FNT,15931552,16335674,16614426,15693584,15582622,407488,406688,405813,"404,627","401,923"
11260,Anchorage,"MRI, ANC",25842697,26029809,25950062,26090195,26076646,400570,397636,396317,"400,167","400,455"
34820,Myrtle Beach,MYR,17915888,18299683,18661012,20126573,20937663,463514,480985,496901,"366,093","383,147"
13140,Beaumont,BPT,24454169,25657246,25098948,22261112,21846800,398129,393815,392563,"395,526","394,489"
45220,Tallahassee,TLH,17109018,17171301,17533225,18305647,19154194,383173,384318,387227,"388,370","390,913"
22180,Fayetteville (NC),FAY,20429752,20637146,21116877,21991344,21818187,517527,522461,526719,"391,067","390,472"
33860,Montgomery,MGM,18161538,18181259,18293634,18385455,18846094,374174,373022,373290,"384,872","385,410"
43340,Shreveport,SHV,20077806,20687072,21298035,20807215,20576057,400161,397281,394706,"388,930","384,943"
45940,Trenton,TTN,32454071,33563841,37149619,40960366,42923608,368168,368188,367430,"382,172","380,779"
21660,Eugene,EUG,15867405,16302256,16363906,17375993,17551013,375264,378549,382067,"384,121","382,181"
19340,Davenport,MLI,21554709,21409425,21587953,21649139,21598562,381103,380044,379172,"381,639","379,439"
22660,Fort Collins,FNL,18593761,19479555,20425737,21886159,22240217,344084,350660,356899,"362,747","367,577"
12100,Atlantic City,ACY,13521560,13616155,13791800,14017564,14199892,265498,263989,263670,"370,662","370,787"
26580,Huntington,HTS,14669576,15381602,15630673,14700886,14598031,361970,359069,355873,"372,853","369,974"
37900,Peoria,PIA,21777992,22340533,21513254,20928148,22041676,406913,403328,400561,"365,222","362,771"
31180,Lubbock,LBB,13659578,14001212,14377087,14955602,15090414,317094,319239,322257,"355,386","356,789"
23540,Gainesville (FL),GNV,14483506,14965419,15335342,16325859,16690497,324485,327933,329128,"344,361","348,296"
30700,Lincoln,LNK,19552170,19940034,20346438,20905354,21668598,330975,333800,336374,"340,960","342,059"
40420,Rockford,RFD,15826773,16253918,16161341,14904989,15370676,338194,337110,336116,"336,506","334,610"
24580,Green Bay,GRB,20005038,20648388,20744835,20603639,20814767,319694,321384,322906,"328,909","330,417"
43780,South Bend,SBN,14674694,15340527,15712138,15520962,16094754,321538,322697,323613,"323,813","323,759"
17980,Columbus (GA),CSG,14601270,14626897,14869675,14919089,14452429,315942,318211,321048,"326,478","323,826"
40220,Roanoke,ROA,15918924,16183704,16072741,16634246,16911197,312988,313033,313222,"314,688","314,150"
28420,Kennewick,PSC,14688220,15221366,15745176,16192367,16207971,290096,295289,299612,"308,701","311,411"
25180,Hagerstown,HGR,11326919,11663887,11464680,11597559,11561095,282958,285722,288104,"298,623","302,071"
47380,Waco,ACT,12732714,13262378,13079824,13317838,13738578,268971,271427,273920,"299,333","301,825"
18880,Crestview,VPS,14385761,14991042,15862463,17870178,18345980,271499,277666,284809,"293,662","299,868"
43620,Sioux Falls,FSD,22154738,21889463,22770866,23095755,22603731,260083,263810,268232,"291,978","299,079"
30980,Longview (TX),GGG,14585371,15385350,15222587,14959167,15441224,284602,285315,286657,"288,187","290,575"
32900,Merced,MCE,9136656,9152693,9229029,9236208,9251611,271096,274151,277680,"284,610","290,210"
42020,San Luis Obispo,SBP,16779957,17200943,17239485,17484003,17761567,282481,283354,283111,"279,464","282,046"
20260,Duluth,"DLH, HIB",13554938,13868115,14152130,13889180,13820933,289108,289260,288732,"280,016","280,328"
